AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS,AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP1,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE1,EMPLOYMENT1,SALARY,LOS,Salary_hike
AF2S,8,G,13,12,B,341,2,99,GS-12,G,XXXX,8,15,F,1,202106,1,78711,2,AF2S,8,G,13,12,B,341,2,99,GS-12,H,XXXX,8,15,F,1,202109,1,81335,2.3,1
AF2S,8,I,4,12,B,2101,2,99,GS-12,H,XXXX,8,15,F,1,202106,1,86584,1,AF2S,8,I,4,12,B,2101,2,99,GS-12,H,XXXX,8,15,F,1,202109,1,86584,1.3,0
AF2S,8,J,4,13,A,301,2,99,GS-13,I,XXXX,8,15,F,1,202106,1,93597,0.4,AF2S,8,J,4,13,A,301,2,99,GS-13,I,XXXX,8,15,F,1,202109,1,93597,0.7,0
AF2S,8,G,4,13,A,1712,2,99,GS-13,I,XXXX,8,20,F,2,202106,1,93597,0.3,AF2S,8,G,4,13,A,1712,2,99,GS-13,I,XXXX,8,20,F,2,202109,1,93597,0.6,0
AF2S,8,G,4,13,A,1712,2,99,GS-13,I,XXXX,8,20,F,2,202106,1,93597,0,AF2S,8,G,4,13,A,1712,2,99,GS-13,I,XXXX,8,20,F,2,202109,1,93597,0.3,0
AF2T,35,K,17,14,F,830,1,99,GS-14,L,830,8,10,F,1,202106,1,127831,18.4,AF2T,35,K,17,14,F,830,1,99,GS-14,L,830,8,10,F,1,202109,1,127831,18.7,0
AF2T,35,J,13,14,J,801,1,99,GS-14,N,801,8,10,F,1,202106,1,142439,36,AF2T,35,J,13,14,J,801,1,99,GS-14,N,801,8,10,F,1,202109,1,142439,36.3,0
AF2T,35,H,17,13,F,861,1,99,GS-13,L,861,8,10,F,1,202106,1,120541,17.8,AF2T,35,H,17,13,F,861,1,99,GS-13,L,861,8,10,F,1,202109,1,120541,18.1,0
AF2T,35,J,17,15,F,18,2,99,GS-15,P,XXXX,2,10,F,1,202106,1,167550,16.5,AF2T,35,J,17,15,F,18,2,99,GS-15,P,XXXX,2,10,F,1,202109,1,167550,16.8,0
AF2T,35,K,17,13,G,18,2,99,GS-13,K,XXXX,8,10,F,1,202106,1,117450,23.5,AF2T,35,K,17,13,G,18,2,99,GS-13,K,XXXX,8,10,F,1,202109,1,117450,23.8,0
AF2T,35,J,13,14,G,830,1,99,GS-14,L,830,8,10,F,1,202106,1,127831,21.4,AF2T,35,J,13,14,G,830,1,99,GS-14,M,830,8,10,F,1,202109,1,131483,21.7,1
AF2T,35,G,11,13,G,1035,2,99,GS-13,J,XXXX,8,10,F,1,202106,1,101996,20.9,AF2T,35,G,11,13,G,1035,2,99,GS-13,J,XXXX,8,10,F,1,202109,1,101996,21.2,0
AF2T,35,J,13,14,J,861,1,99,GS-14,N,861,8,10,F,1,202106,1,142439,36.5,AF2T,35,J,13,14,J,861,1,99,GS-14,N,861,8,10,F,1,202109,1,142439,36.8,0
AF2T,35,E,17,14,D,854,1,99,GS-14,L,854,8,10,F,1,202106,1,127831,6.4,AF2T,35,E,17,14,D,854,1,99,GS-14,L,854,8,10,F,1,202109,1,127831,6.7,0
AF2T,35,H,21,14,D,2210,2,99,GS-14,M,2210,8,15,F,1,202106,1,135135,7.4,AF2T,35,H,21,14,D,2210,2,99,GS-14,M,2210,8,15,F,1,202109,1,135135,7.7,0
AF2T,35,C,17,12,C,855,1,99,GS-12,G,855,8,15,F,1,202106,1,77976,3,AF2T,35,C,17,12,C,855,1,99,GS-12,H,855,8,15,F,1,202109,1,80576,3.3,1
AF2T,35,G,17,14,B,18,2,99,GS-14,J,XXXX,8,15,F,1,202106,1,109571,1.8,AF2T,35,G,17,14,B,18,2,99,GS-14,J,XXXX,8,15,F,1,202109,1,109571,2.1,0
AF2T,35,G,4,14,B,18,2,99,GS-14,K,XXXX,8,15,F,1,202106,1,113223,1.5,AF2T,35,G,4,14,B,18,2,99,GS-14,K,XXXX,8,15,F,1,202109,1,113223,1.8,0
AF2T,35,C,4,13,B,2210,2,99,GS-13,J,2210,8,15,F,1,202106,1,101996,1.4,AF2T,35,C,4,13,B,2210,2,99,GS-13,J,2210,8,15,F,1,202109,1,101996,1.7,0
AF2T,35,F,4,13,A,18,2,99,GS-13,K,XXXX,8,15,F,1,202106,1,111268,0.4,AF2T,35,F,4,13,A,18,2,99,GS-13,K,XXXX,8,15,F,1,202109,1,111268,0.7,0
AF2T,35,G,21,14,A,180,1,99,GS-14,N,180,2,15,F,1,202106,1,142439,0.4,AF2T,35,G,21,14,A,180,1,99,GS-14,N,180,2,15,F,1,202109,1,142439,0.7,0
AF2T,35,F,17,13,D,2210,2,99,GS-13,L,2210,8,15,F,1,202106,1,120541,7.3,AF2T,35,F,17,13,D,2210,2,99,GS-13,L,2210,8,15,F,1,202109,1,120541,7.6,0
AF2T,35,I,17,14,E,18,2,99,GS-14,K,XXXX,2,10,F,1,202106,1,116875,11,AF2T,35,I,17,14,E,18,2,99,GS-14,K,XXXX,2,10,F,1,202109,1,116875,11.3,0
AF2T,35,H,17,14,D,18,2,99,GS-14,M,XXXX,8,10,F,1,202106,1,131483,6.3,AF2T,35,H,17,14,D,18,2,99,GS-14,M,XXXX,8,10,F,1,202109,1,131483,6.6,0
ARXK,51,J,17,15,F,1515,1,99,GS-15,Q,1515,8,10,F,1,202106,1,172500,19.5,ARXK,51,J,17,15,F,1515,1,99,GS-15,Q,1515,8,10,F,1,202109,1,172500,19.8,0
ARXK,35,I,17,14,F,855,1,99,GS-14,M,855,8,10,F,1,202106,1,130661,16.9,ARXK,35,I,17,14,F,855,1,99,GS-14,M,855,8,10,F,1,202109,1,130661,17.2,0
ARXK,35,F,13,14,F,855,1,99,GS-14,M,855,8,10,F,1,202106,1,130661,19.4,ARXK,35,F,13,14,F,855,1,99,GS-14,M,855,8,10,F,1,202109,1,130661,19.7,0
ARXK,35,H,13,13,I,855,1,99,GS-13,K,855,8,10,F,1,202106,1,119787,30.9,ARXK,35,H,13,13,I,855,1,99,GS-13,K,855,8,10,F,1,202109,1,119787,31.2,0
